api,doi,title,url,search_term,dataset,valid,pdf
pubmed,,"Texas entry-year agriculture teachers' perceptions, practices, and preparation regarding safety and health in agricultural education.",https://www.ncbi.nlm.nih.gov/pubmed/11587192,Agricultural Resource Management Survey,dataset-870,,
pubmed,,The accuracy of forest damage assessments--experiences from Sweden.,https://www.ncbi.nlm.nih.gov/pubmed/11944801,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.262136,"The Adoption of Genetically Engineered Alfalfa, Canola and Sugarbeets in the United States",http://dx.doi.org/10.22004/ag.econ.262136,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1002/mde.1531,"The adoption, diffusion, and evolution of organizational form: insights from the agrifood sector",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20adoption%2C%20diffusion%2C%20and%20evolution%20of%20organizational%20form%3A%20insights%20from%20the%20agrifood%20sector,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1108/00021461211250429,The Agricultural Resource Management Survey,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Agricultural%20Resource%20Management%20Survey,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.19840,THE AGRICULTURAL RESOURCE MANAGEMENT SURVEY AND THE USDA COSTS AND RETURNS ESTIMATION PROGRAM,http://dx.doi.org/10.22004/ag.econ.19840,Agricultural Resource Management Survey,dataset-870,,
pubmed,,The Association Between Residential Care Facility Manager's Educational Attainment and the Presence of Structural and Service Innovations.,https://www.ncbi.nlm.nih.gov/pubmed/27749379,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1002/ecy.2750,The Australian National Rabbit Database: 50 yr of population monitoring of an invasive species.,https://www.ncbi.nlm.nih.gov/pubmed/31034589,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1126/sciadv.aar8195,The Baltic Sea as a time machine for the future coastal ocean.,https://www.ncbi.nlm.nih.gov/pubmed/29750199,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1093/aepp/ppt016,The Disadoption of rbST and Its Economic Impact: A Switching Regression Approach,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Disadoption%20of%20rbST%20and%20Its%20Economic%20Impact%3A%20A%20Switching%20Regression%20Approach,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1002/ecy.2508,The distribution and role of functional abundance in cross-scale resilience.,https://www.ncbi.nlm.nih.gov/pubmed/30175443,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.31487,The Dynamics of Wealth Concentration Among Farm Operator Households,http://dx.doi.org/10.22004/ag.econ.31487,Agricultural Resource Management Survey,dataset-870,,
openaire,,The Eastern Mining Area Transmission Line Survey: Archaeological Resources in the Salt-Gila Uplands of Central Arizona,http://dx.doi.org/10.6067/xcv8425566,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1111/j.1931-0846.2016.12161.x,The Economic Contributions of Agricultural Tourism in Michigan,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Economic%20Contributions%20of%20Agricultural%20Tourism%20in%20Michigan,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.1016/j.foodpol.2015.05.001,The economic impact of farmers’ markets and a state level locally grown campaign,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20economic%20impact%20of%20farmers%E2%80%99%20markets%20and%20a%20state%20level%20locally%20grown%20campaign,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.21401,The Economic Well-Being of Farm and Nonfarm Households: Evidence from Two National Surveys,http://dx.doi.org/10.22004/ag.econ.21401,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.205083,The Economics of Glyphosate Resistance Management in Corn and Soybean Production,http://dx.doi.org/10.22004/ag.econ.205083,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.205780,The Effect of Gender on Productivity Status in U.S. Agriculture,http://dx.doi.org/10.22004/ag.econ.205780,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.234268,The Effect of Incentives on Response in 2005 ARMS Phase III Interviews,http://dx.doi.org/10.22004/ag.econ.234268,Agricultural Resource Management Survey,dataset-870,,
pubmed,10.1016/j.geoderma.2019.02.033,The effect of land use change on soil fertility parameters in densely populated areas of Kenya.,https://www.ncbi.nlm.nih.gov/pubmed/31160827,Agricultural Resource Management Survey,dataset-870,,
openaire,10.22004/ag.econ.44803,THE EFFECTS OF CAP REFORM ON THE PERIURBAN AGRICULTURAL AREA IN THE PLAIN OF THE CITY OF ASSISI (CENTRAL ITALY),http://dx.doi.org/10.22004/ag.econ.44803,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.2139/ssrn.2026902,"The Future of Environmental Compliance Incentives in U.S. Agriculture: The Role of Commodity, Conservation, and Crop Insurance Programs",https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Future%20of%20Environmental%20Compliance%20Incentives%20in%20U.S.%20Agriculture%3A%20The%20Role%20of%20Commodity%2C%20Conservation%2C%20and%20Crop%20Insurance%20Programs,Agricultural Resource Management Survey,dataset-870,,
dimensions,10.5304/jafscd.2015.052.008,The Future of Preserved Farmland: Ownership Succession in Three Mid-Atlantic States,https://app.dimensions.ai/discover/publication?search_type=kws&search_field=full_search&search_text=The%20Future%20of%20Preserved%20Farmland%3A%20Ownership%20Succession%20in%20Three%20Mid-Atlantic%20States,Agricultural Resource Management Survey,dataset-870,,
